;MESSAGE;PREDICTION;CATEGORY_ID
0; <#758337633356087348>;0.999;1
1; stream boys, stream ladies, stream puppies, take your pick.;0.005;0
2; lewis wins the gp after turn 1;0.796;1
3; okay mr doom and gloom.;0.999;1
4; lewis gets shafted into t1;0.995;1
5; steiner drives instead of mazepin.;0.996;1
6; wins the gp.;0.973;1
5982;$$$$$$$$$$$$$$;0.998;1
5983;hyperboling for comedic effect;0.995;1
5984;i didn't win so it must be against the rules;0.981;1
5985;also mercedes protested;0.997;1
5986;another thing;0.999;1
5987;its with max and overtaking under sc just before we went green again;0.99;1
5989;yeah, since max immediately backed off... right?;0.96;1
5990;https://twitter.com/krispykremeie/status/1470006450508505092?t=8oginx__101kbdfegzdreq&s=19;0.998;1
5992;yeah after lewis practically came to a full stop for no reason;0.779;1
5993;homeboy was scooting at 1 mph;0.993;1
5994;where to watch sky sports live;0.041;0
5995;i believe they are streaming whats happening with stewards;0.432;1
